以下の作品リストについて、各タイトルの「読みの先頭1文字」をカタカナで返してください。

【ルール】
・括弧・鍵括弧（【】、()、[]、「」など）は無視し、その内側ではなく、除去した後の最初の有効な文字の読みを使う
・漢字 → その読みの先頭1文字をカタカナで（例：隣→ト、双→フ、異→イ）
・英字・アルファベット → 日本語読みの先頭1文字をカタカナで（例：L→エ、A→エ、R→ア）
・数字 → 日本語読みの先頭1文字をカタカナで（例：1→イ、2→ニ、3→サ）
・ひらがな・カタカナ始まり → その1文字をカタカナに（例：あ→ア、か→カ）
・不明・判断できない場合は「?」を返す

【出力形式】
workId（タブ）読みの1文字
1行1作品。元の順序を維持。ヘッダー不要。

例：
d_abc123	ト
d_def456	フ
d_ghi789	エ

---

## 作品リスト（workId<TAB>title）
※ 以下が 003 番目のリスト（500件）

d_135880	「志麻子 〜妻の母〜」 6
d_135967	時姦の魔女2 〜エロいお姉さんに時間停止されてもっとイロイロされちゃうお話〜
d_135978	初めての寝取られマゾ化調教2 〜マゾ化計画編〜
d_136003	夏が終わるまで おうち編
d_136013	単位不足で進級できない！？生意気な教え子ギャルをえっちで補填！
d_136030	過ち-弱みを握られ、篭絡される少女-
d_136096	-〇〇な〇〇さんシリーズまとめ- 総集編な誰かさん＋その後の笹森さん
d_136148	Let’s share it
d_136163	SHIHO999 DL 〜西住しほ中出し999連発〜
d_136268	湯ノ花の香
d_136277	人をダメにするちょいブス〜顔40点、身体120点の彼女〜
d_136285	千鶴ちゃん開発日記〜片思い中の先生のため、中年教師にハメられる純情優等生〜（前編）
d_136288	食べメイド ゴミ箱編
d_136296	着ぐるみの中はまっさかり
d_136372	TVでHなハプニングを受け続け24時間徹底的に辱められたプライドの高い女2
d_136473	NTRミッドナイトプール
d_136516	強●援交2〜黒ギャルJKをカネで抱きたい〜
d_136616	恥辱の痴○電車2〜狙われた受験生〜
d_136637	体格差があるからってHしない訳ないだろ！
d_136677	獣人に囚われた女騎士の受難
d_136716	砂漠の国の傲慢王子 その後のお話
d_136865	催●性教育 完全版 中編（第六話から第十話まで。）
d_136901	Beyond
d_136929	母は踊る 全話パック
d_137100	奴●飼育マンション3 生贄発狂処刑編
d_137101	Re:Temptation1
d_137111	黒ギャルを拡張お仕置き！
d_137198	地味子さんは肉食系
d_137222	闇の淫虐師 スーパー・ハード
d_137238	援助交配6
d_137253	離島へ転校したらホストファミリーがドスケベで困るFC2
d_137274	人妻教師NTR修学旅行
d_137301	成績UPを条件に 毎日抜いてくれるお母さん
d_137304	一度はフラれた先輩と夜の秘密合宿で生ハメSEX！ 上巻
d_137342	天才バレー選手 鳳真凛 屈辱の1年間
d_137386	女装リーマン4
d_137432	人気女装子ブロガーが拉致られて娼婦にされた件
d_137441	狙われたヨガ講師妻〜美希〜
d_137469	聖戦姫イリス3 〜淫靡なる終焉〜
d_137495	夏へのクローゼット 〜タイムスリップ・母寝取られ〜
d_137534	誰でも発情催淫！？催淫ビデオカメラで幼馴染の爆乳処女ギャルが俺専用のオナホになるまで調教してみた！
d_137611	新、僕の彼女と巨根のゴリ先輩
d_137630	無人島JK！ちょろいよ吉村さん！ 2〜野外で寝取り編〜
d_137638	近女誘惑 合同温泉旅行編
d_137669	新人インストラクター 香澄さん 〜プールサイドの誘惑〜
d_137675	地味だけどエロい身体したお母さんを風俗堕ち寸前で救った母子相姦
d_137693	夏帆先輩と内緒の時間3
d_137761	媚薬リベンジ！ 〜親友をチカンから助けたばかりに〜
d_137890	解禁日のたわわIII〜前髪ちゃんのミルクパイ〜
d_137896	魔性清姫の純愛本
d_137938	X-LUST
d_137955	俺と伊織とあんな子と
d_137966	昔は可愛かった
d_137970	私の100日を2500万で買ってください。
d_137987	一度はフラれた先輩と夜の秘密合宿で生ハメSEX！ 下巻
d_138000	天空の癒され混浴物語
d_138026	99.99％の男が死滅した世界で種馬のような生活をおくるボクの物語（後編）
d_138066	豚さんと若妻
d_138089	先生だったら…
d_138098	DELIGHTFULLY FUCKABLE AND UNREFINED ALL YOU CAN SEX！
d_138152	〜性器転送〜離れた所からヤリまくり！？
d_138222	生徒の正しい犯し方
d_138236	YUKI2202
d_138355	夜行バスでねっとりと触られ続けた女子大生
d_138386	孕んじゃうゆりちゃん
d_138477	好きじゃない娘とセッ〇スした方が 興奮する説
d_138479	少女回春4 臨海学校編
d_138480	少女回春 フェラチオレッスン編
d_138482	箱入乙女 巨乳JK美羽のメス堕ち性教育
d_138483	9人の嫁メイド艦と日替わりセックスする本 MAID SHIP COMPLEX
d_138532	援交少女 〜俺が惚れたあのコは親父の女〜
d_138631	浴衣とレ●プとアニキと俺と。【浴衣とレ●プ編】
d_138677	純粋無垢な彼女が中年教師に犯●れ続けた放課後の話
d_138719	性欲モンスターの義姉にロックオンされた僕
d_138744	睡眠犯
d_139017	巨人たちの宴
d_139049	姉なるもの7
d_139112	淫欲の棲家 1
d_139156	落飾
d_139161	綾姉〜奪われた幼馴染〜
d_139186	欲求不満な人妻が不倫セックスに溺れる夜
d_139196	嵌事2
d_139198	樽詰めの蟲姫
d_139517	混浴温泉で年上のお姉さんにいっぱい射精させてもらう話
d_139582	欲求不満妻は部下のち○ぽの夢を見るか
d_139658	人妻ねとりサプライズ〜旦那の目の前で膣内射精〜
d_139665	放課後、憧れの先輩に連れられてー
d_139734	熟女子〇生B
d_139769	円交少女はお嫌いですか？
d_139832	1年間痴●され続けた女 ー光月ユウナ編ー
d_139834	50歳の母がエロすぎて中出しセックスをしてもらった童貞の僕。
d_139948	近所の美人人妻を催●で寝取る！
d_140104	働くお姉さん エロティックサロン
d_140185	彼女のコスプレ〜恥辱の女体化調教！！〜
d_140466	陥落体これくしょん
d_140467	扶桑ケッコンセイカツ
d_140468	大和奪艦
d_140469	扶桑山城お嫁さんセイカツ
d_140471	「競泳」特性のサーヴァントと
d_140487	寝取られ借金妻〜危険な交渉編〜
d_140535	D4C-complete-
d_140638	社長秘書は男の娘
d_140668	泥●背徳温泉ー主婦・篠原雪枝さんの火遊び
d_140764	俺が見たことのない彼女
d_140798	母を寝取られても後編リニューアル
d_140813	9時から5時までの恋人 全集vol.3
d_140877	巨尻妻景子と絶倫スケベ爺。
d_140955	三人でナイト
d_140984	無気力無口系JK日々谷さん うっかり先生のカキタレになっちゃいました。
d_141041	催●で・・・
d_141077	大学進学で一緒に上京した彼女がサークルの先輩に寝取られ堕ちるまで-拒めない快楽編-
d_141126	親戚のお姉さんが家庭教師をしてくれることになって…〜母が出かけたら2秒でセックス〜
d_141141	魔物の物語〜オークの少年ゴド〜
d_141238	新退魔士カグヤ3
d_141248	ImitationLovers
